"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","C","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~"
"C3","1","1µF","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~"
"C6,C11","2","10uF","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~"
"C7,C12","2","100nF","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~"
"C8,C13","2","10pF","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~"
"C9,C10,C14,C15","4","22uF","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~"
"D1,D3,D4","3","LED","","","","LED_SMD:LED_0603_1608Metric","~"
"D2","1","SMBJ14A","","","","SMBJ14A:DIOM5436X261N",""
"J1","1","1-2199119-5","","","","lib:TE_1-2199119-5",""
"J2","1","USB4105-GF-A","","","","USB4105-GF-A:GCT_USB4105-GF-A",""
"J3","1","USB-A-S-VT","","","","CONN_USB-A-S-VT_ADM","USB-A-S-VT"
"J4","1","HDMI_A_1.4","","","","HMDI:AMPHENOL_10029449-111RLF","https://en.wikipedia.org/wiki/HDMI"
"J5","1","Conn_02x05_Odd_Even","","","","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~"
"J6","1","Conn_01x02","","","","1-2199119-5_Finley:TerminalBlock_PhoenixTerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal_Edited","~"
"J8","1","Conn_02x06_Odd_Even","","","","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical","~"
"L1,L2","2","3.3uH","","","","1255AY-3R3N_P3:IND_1255AY-3R3N=P3","~"
"Module1","1","ComputeModule4-CM4","","","","CM4IO:Raspberry-Pi-4-Compute-Module",""
"R2,R3,R6,R13","4","R","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R4,R5","2","R_Small","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R7","1","10K","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R9","1","52.3k","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R10,R12","2","10k","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R11","1","31.6k","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"SW1,SW2,SW3","3","SW_Push","","","","Button_Switch_SMD:SW_SPST_TS-1088-xR020","~"
"TP1,TP2,TP3,TP4,TP5,TP6","6","TestPoint","","","","TestPoint:TestPoint_Pad_2.0x2.0mm","~"
"U1","1","SI-51005-F","","","","lib:BEL_SI-51005-F","https://www.belfuse.com/products/ethernet/magjacks-icms/si-51005-f"
"U2,U3,U4","3","PUSB3FR4","","","","lib:SOT1176-1","https://www.nexperia.com/product/PUSB3FR4"
"U5","1","NCP380HSN05AAT1G","","","","TSOP-5_ONS","NCP380HSN05AAT1G"
"U6","1","HUSB238_xxxDD","","","","Package_DFN_QFN:WDFN-10-1EP_3x3mm_P0.5mm_EP1.8x2.5mm","https://cdn-learn.adafruit.com/assets/assets/000/125/150/original/husb238_datasheet_full.pdf"
"U7,U8","2","AP62300WU-7","","","","AP62300WU-7:SOT95P280X100-6N",""
"U9,U10","2","74LVC1G07_copy","","","","Package_TO_SOT_SMD:SOT-353_SC-70-5","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf"
"U11","1","~","","","","",""
